TIME,EWF,EIWP,EOWP,EEWT,ELWT,CAT,EAT,ERP,SAET,CRP,SCT,CWF,COWP,CEWT,CLWT,IGVP,OTP,DOP,OTT,PTPT,RUNTIME
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,60,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,60,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,62,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,60,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,1,0,26,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,61,414,0
2020-05-12,1,0,25,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,1,0,25,9,10,0,0,-48,10,-16,23,24,26,26,25,0,-50,-50,62,414,0
2020-05-12,1,0,25,9,10,0,0,-48,10,-16,24,24,26,26,25,0,-50,-50,60,414,0
2020-05-12,1,0,25,9,10,0,0,-48,10,-17,23,24,26,26,25,0,-50,-50,63,414,0
2020-05-12,1,0,25,9,10,0,0,-48,10,-17,23,24,26,26,25,0,-50,-50,60,414,0
2020-05-12,1,0,25,9,10,0,0,-48,10,-17,23,24,26,26,25,0,-50,-50,63,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-17,23,24,26,26,25,0,-50,-50,61,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-17,23,24,26,26,25,0,-50,-50,60,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-17,23,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-17,23,24,26,25,25,0,-50,-50,60,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-17,23,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,61,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-16,23,24,26,25,25,0,-50,-50,62,414,0
2020-05-12,0,0,25,9,10,0,0,-48,10,-16,24,24,26,25,25,0,-50,-50,62,414,0
2020-05-12,0,0,26,9,10,0,0,-48,10,-16,24,24,26,26,25,0,-50,-50,60,414,0
2020-05-12,0,0,26,9,10,0,0,-48,10,-16,24,24,26,26,25,0,-50,-50,63,414,0
2020-05-12,0,0,26,9,10,0,0,-48,10,-16,24,24,26,26,25,0,-50,-50,61,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-16,24,24,26,25,25,0,-50,-50,62,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-16,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,60,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,61,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,62,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,62,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,60,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,63,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-15,24,24,26,25,25,0,-50,-50,61,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-50,-50,62,414,0
2020-05-12,0,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-50,-50,62,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,60,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,63,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,61,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,62,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,62,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,60,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,63,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,61,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,63,414,0
2020-05-12,1,0,26,9,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,63,414,0
2020-05-12,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-54,63,911,0
2020-05-12,-3,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-54,61,911,0
2020-05-12,-3,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-54,61,911,0
2020-05-12,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-54,62,911,0
2020-05-12,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-54,60,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,63,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,61,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,62,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,62,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,63,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-18,23,31,26,24,25,0,-52,-54,61,911,0
2020-05-12,-3,0,25,9,9,0,0,-50,9,-18,23,31,25,24,25,0,-51,-54,63,911,0
2020-05-12,-3,0,24,9,9,0,0,-50,9,-18,23,31,25,24,25,0,-51,-54,62,911,0
2020-05-12,-3,0,24,9,9,0,0,-50,9,-18,23,31,25,24,25,0,-51,-54,60,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-18,23,31,25,24,25,0,-52,-54,63,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-18,23,31,25,24,25,0,-52,-54,60,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-18,23,31,26,24,25,0,-52,-54,63,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-18,23,31,26,24,25,0,-52,-54,61,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-18,23,31,26,24,25,0,-52,-54,62,911,0
2020-05-12,-2,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,64,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,61,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,62,911,0
2020-05-12,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-55,60,911,0
2020-05-12,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-52,-54,64,911,0
2020-05-12,-3,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,61,911,0
2020-05-12,-2,0,26,9,9,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,61,911,0
2020-05-12,-2,0,26,9,9,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,60,911,0
2020-05-12,-3,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,63,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,61,911,0
2020-05-12,-3,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-12,-2,0,26,9,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,60,911,0
2020-05-12,-2,0,26,9,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-12,-3,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,60,911,0
2020-05-12,-2,0,26,9,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,64,911,0
2020-05-12,-3,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,61,911,0
2020-05-12,-3,0,26,8,8,0,0,-51,8,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-12,-2,0,26,9,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,9,-17,23,31,26,24,25,0,-53,-55,60,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,8,-17,23,31,26,24,25,0,-53,-55,63,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,8,-17,23,31,26,24,25,0,-53,-55,60,911,0
2020-05-12,-2,0,26,8,8,0,0,-51,8,-17,23,31,26,24,25,0,-53,-55,60,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-55,61,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-55,62,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-55,63,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-55,63,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-55,62,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-56,63,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-56,63,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-17,23,31,26,24,25,0,-53,-56,62,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-56,62,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-56,62,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,61,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,60,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,60,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,60,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,62,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,62,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,63,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,64,911,0
2020-05-13,-2,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-55,63,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-56,62,911,0
2020-05-13,-3,0,26,8,8,0,0,-52,8,-18,23,31,26,24,25,0,-53,-56,60,911,0
2020-05-13,-2,0,25,9,9,0,0,-51,9,-18,23,31,26,24,25,0,-52,-54,63,911,0
2020-05-13,-2,0,25,9,9,0,0,-51,9,-18,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-13,-2,0,25,9,9,0,0,-51,9,-19,23,31,25,24,25,0,-52,-54,64,911,0
2020-05-13,-2,0,25,9,9,0,0,-50,9,-19,22,31,25,24,25,0,-52,-54,62,911,0
2020-05-13,-2,0,25,9,9,0,0,-51,9,-19,22,31,25,24,25,0,-52,-54,60,911,0
2020-05-13,-2,0,25,8,8,0,0,-51,8,-19,22,31,25,24,25,0,-52,-55,62,911,0
2020-05-13,-2,0,25,9,9,0,0,-51,9,-19,22,31,25,24,25,0,-52,-54,60,911,0
2020-05-13,-2,0,24,9,9,0,0,-51,9,-20,22,31,25,24,25,0,-52,-54,64,911,0
2020-05-13,-3,0,25,9,9,0,0,-50,9,-20,22,31,25,24,25,0,-51,-53,61,911,0
2020-05-13,-3,0,25,9,9,0,0,-50,9,-20,22,31,25,24,25,0,-50,-53,64,911,0
2020-05-13,-3,0,25,9,9,0,0,-50,9,-19,22,31,25,24,25,0,-50,-53,61,911,0
2020-05-13,-2,0,25,9,9,0,0,-49,9,-19,23,31,26,24,25,0,-50,-52,63,911,0
2020-05-13,-2,0,26,10,10,0,0,-49,10,-17,23,31,26,24,25,0,-50,-52,61,911,0
2020-05-13,-2,0,26,10,10,0,0,-48,10,-17,23,31,26,24,25,0,-49,-51,62,911,0
2020-05-13,-3,0,26,10,10,0,0,-49,10,-17,23,31,26,24,25,0,-48,-51,63,911,0
2020-05-13,-2,0,26,9,9,0,0,-49,10,-16,24,31,26,24,25,0,-50,-52,61,911,0
2020-05-13,-2,0,26,9,10,0,0,-49,10,-16,24,31,26,24,25,0,-50,-52,61,911,0
2020-05-13,-2,0,26,10,9,0,0,-49,10,-16,24,31,26,24,25,0,-50,-52,63,911,0
2020-05-13,-3,0,26,9,9,0,0,-49,9,-16,23,31,26,24,25,0,-50,-52,61,911,0
2020-05-13,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-50,-52,61,911,0
2020-05-13,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-50,-53,62,911,0
2020-05-13,-2,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-50,-52,60,911,0
2020-05-13,-3,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-50,-53,63,911,0
2020-05-13,1,0,26,9,10,0,0,-49,10,-16,23,24,26,26,25,0,-51,-50,63,414,0
2020-05-13,1,0,26,9,10,0,0,-49,10,-16,23,24,26,26,25,0,-51,-50,62,414,0
2020-05-13,1,0,26,9,10,0,0,-49,10,-16,23,24,26,26,25,0,-51,-50,62,414,0
2020-05-13,1,0,26,9,10,0,0,-49,10,-16,23,24,26,26,25,0,-51,-50,61,414,0
2020-05-13,1,0,26,8,10,0,0,-49,10,-16,24,24,26,26,25,0,-51,-50,60,414,0
2020-05-13,0,0,25,8,10,0,0,-49,9,-16,23,24,26,26,25,0,-51,-51,62,414,0
2020-05-13,0,0,25,8,10,0,0,-49,9,-16,23,24,26,26,25,0,-51,-51,61,414,0
2020-05-13,0,0,25,8,10,0,0,-49,9,-16,23,24,26,26,25,0,-51,-51,61,414,0
2020-05-13,0,0,25,8,10,0,0,-49,9,-16,23,24,26,26,25,0,-51,-51,61,414,0
2020-05-13,0,0,25,8,10,0,0,-49,9,-17,23,24,26,26,25,0,-51,-51,60,414,0
2020-05-13,1,0,25,8,10,0,0,-49,9,-17,23,24,26,26,25,0,-52,-51,60,414,0
2020-05-13,1,0,25,8,10,0,0,-49,9,-17,23,24,26,26,25,0,-52,-51,62,414,0
2020-05-13,1,0,25,8,10,0,0,-49,9,-17,23,24,26,26,25,0,-52,-51,62,414,0
2020-05-13,1,0,26,8,10,0,0,-50,9,-17,23,24,26,26,25,0,-52,-51,63,414,0
2020-05-13,1,0,25,8,10,0,0,-50,9,-17,23,24,26,26,25,0,-52,-51,63,414,0
2020-05-13,1,0,25,8,10,0,0,-50,9,-17,23,24,26,26,26,0,-52,-51,63,414,0
2020-05-13,1,0,25,8,10,0,0,-50,9,-17,23,24,26,26,26,0,-52,-51,63,414,0
2020-05-13,1,0,25,8,10,0,0,-50,9,-17,23,24,26,26,26,0,-52,-51,62,414,0
2020-05-13,1,0,25,8,10,0,0,-50,9,-17,23,24,26,26,26,0,-52,-51,61,414,0
2020-05-13,1,0,25,8,9,0,0,-50,9,-17,23,24,26,26,26,0,-52,-51,60,414,0
2020-05-13,1,0,25,8,10,0,0,-50,9,-17,23,24,26,26,26,0,-52,-51,63,414,0
2020-05-13,0,0,25,9,9,0,0,-50,9,-17,23,24,26,26,26,0,-52,-52,61,414,0
2020-05-13,0,0,25,9,9,0,0,-50,9,-17,23,24,26,26,26,0,-52,-52,63,414,0
2020-05-13,0,0,25,9,10,0,0,-50,9,-17,23,24,26,26,26,0,-51,-51,61,414,0
2020-05-13,1,0,25,9,10,0,0,-50,9,-17,23,24,26,26,26,0,-51,-50,61,414,0
2020-05-13,0,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,62,414,0
2020-05-13,0,0,25,9,10,0,0,-49,10,-18,23,24,26,26,26,0,-50,-50,60,414,0
2020-05-13,0,0,25,9,10,0,0,-49,10,-18,23,24,26,26,26,0,-50,-50,63,414,0
2020-05-13,1,0,24,9,10,0,0,-50,9,-18,23,24,26,26,26,0,-51,-50,60,414,0
2020-05-13,0,0,25,9,10,0,0,-50,10,-19,23,24,26,26,26,0,-50,-50,63,414,0
2020-05-13,0,0,25,9,10,0,0,-49,10,-18,23,24,26,26,26,0,-50,-50,61,414,0
2020-05-13,0,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,63,414,0
2020-05-13,0,0,25,9,10,0,0,-48,10,-17,23,24,26,26,26,0,-50,-50,61,414,0
2020-05-13,1,0,26,10,10,0,0,-48,10,-16,24,24,26,26,26,0,-49,-48,62,414,0
2020-05-13,0,0,26,10,10,0,0,-48,10,-15,24,24,26,26,26,0,-48,-48,62,414,0
2020-05-13,1,0,26,10,11,0,0,-48,10,-15,24,24,26,25,26,0,-48,-48,60,414,0
2020-05-13,1,0,26,10,11,0,0,-48,11,-15,24,24,26,26,26,0,-48,-48,63,414,0
2020-05-13,1,0,26,10,11,0,0,-48,10,-15,24,24,26,26,26,0,-48,-48,60,414,0
2020-05-13,1,0,26,10,11,0,0,-48,10,-15,24,24,27,26,26,0,-48,-48,63,414,0
2020-05-13,1,0,26,10,11,0,0,-48,10,-15,24,24,26,26,26,0,-48,-48,61,414,0
2020-05-13,0,0,26,10,11,0,0,-48,10,-15,24,24,26,26,26,0,-48,-48,62,414,0
2020-05-13,0,0,26,9,10,0,0,-48,10,-15,24,24,26,26,26,0,-49,-49,62,414,0
2020-05-13,0,0,26,9,10,0,0,-48,10,-15,24,24,26,26,26,0,-50,-50,61,414,0
2020-05-13,0,0,25,9,10,0,0,-48,10,-15,24,24,26,26,26,0,-50,-50,62,414,0
2020-05-14,0,0,25,9,10,0,0,-48,10,-17,23,24,26,26,26,0,-50,-50,61,414,0
2020-05-14,0,0,25,9,10,0,0,-48,10,-17,23,24,26,26,26,0,-50,-50,62,414,0
2020-05-14,0,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,60,414,0
2020-05-14,1,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,63,414,0
2020-05-14,1,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,60,414,0
2020-05-14,1,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,63,414,0
2020-05-14,1,0,25,9,10,0,0,-49,10,-18,23,24,26,26,26,0,-50,-50,61,414,0
2020-05-14,0,0,25,9,10,0,0,-49,10,-18,23,24,26,26,26,0,-50,-50,62,414,0
2020-05-14,0,0,25,9,10,0,0,-49,10,-19,23,24,26,26,26,0,-50,-50,62,414,0
2020-05-14,0,0,25,9,10,0,0,-49,10,-18,23,24,26,26,26,0,-50,-50,61,414,0
2020-05-14,0,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,63,414,0
2020-05-14,0,0,25,9,10,0,0,-49,10,-17,23,24,26,26,26,0,-50,-50,60,414,0
2020-05-14,0,0,25,9,10,0,0,-48,10,-16,24,24,26,26,26,0,-50,-50,63,414,0
2020-05-14,1,0,26,10,10,0,0,-48,10,-15,24,24,26,25,26,0,-50,-49,61,414,0
2020-05-14,0,0,26,10,10,0,0,-48,10,-15,24,24,26,25,26,0,-48,-48,62,414,0
2020-05-14,0,0,26,10,11,0,0,-48,10,-14,24,24,27,25,25,0,-48,-48,62,414,0
2020-05-14,1,0,26,10,11,0,0,-48,11,-14,24,24,27,25,25,0,-48,-48,60,414,0
2020-05-14,1,0,27,10,11,0,0,-47,11,-14,24,24,27,25,25,0,-48,-48,63,414,0
2020-05-14,1,0,27,10,11,0,0,-47,11,-13,24,24,27,26,25,0,-48,-48,61,414,0
2020-05-14,1,0,27,10,11,0,0,-47,11,-13,24,24,27,26,26,0,-48,-48,62,414,0
2020-05-14,1,0,27,10,11,0,0,-47,11,-13,25,24,27,26,26,0,-48,-48,62,414,0
2020-05-14,1,0,27,10,11,0,0,-47,11,-13,24,24,27,26,26,0,-48,-48,60,414,0
2020-05-14,1,0,27,10,11,0,0,-47,11,-14,24,24,27,26,26,0,-48,-48,63,414,0
2020-05-14,0,0,26,11,11,0,0,-46,11,-15,24,24,27,26,26,0,-48,-48,62,414,0
2020-05-14,-3,0,25,9,9,0,0,-50,9,-18,23,31,25,24,25,0,-50,-53,60,911,0
2020-05-14,-2,0,25,9,9,0,0,-50,9,-19,23,31,25,24,25,0,-51,-53,63,911,0
2020-05-14,-3,0,25,9,9,0,0,-50,9,-19,22,31,25,24,25,0,-51,-54,60,911,0
2020-05-14,-2,0,25,9,9,0,0,-50,9,-19,22,31,25,24,25,0,-51,-53,62,911,0
2020-05-14,-2,0,25,9,9,0,0,-50,9,-19,22,31,25,24,25,0,-51,-53,62,911,0
2020-05-14,-3,0,25,9,9,0,0,-50,9,-19,22,31,25,24,25,0,-51,-54,60,911,0
2020-05-14,-2,0,25,9,8,0,0,-51,9,-20,22,31,25,24,25,0,-52,-54,64,911,0
2020-05-14,-2,0,25,9,9,0,0,-51,9,-20,22,31,25,24,25,0,-52,-54,61,911,0
2020-05-14,-2,0,25,9,9,0,0,-50,9,-20,22,31,25,24,24,0,-51,-53,63,911,0
2020-05-14,-2,0,25,9,9,0,0,-50,9,-20,22,31,25,24,24,0,-51,-53,62,911,0
2020-05-14,-3,0,25,9,9,0,0,-50,9,-19,22,31,25,24,24,0,-50,-53,60,911,0
2020-05-14,-3,0,25,9,9,0,0,-50,9,-19,23,31,25,24,24,0,-50,-52,62,911,0
2020-05-14,-3,0,25,9,9,0,0,-50,9,-18,23,31,26,24,24,0,-50,-52,60,911,0
2020-05-14,-2,0,26,10,10,0,0,-49,10,-17,23,31,26,24,24,0,-50,-52,63,911,0
2020-05-14,-2,0,26,10,10,0,0,-49,10,-17,23,31,26,24,25,0,-50,-52,60,911,0
2020-05-14,-3,0,26,10,10,0,0,-48,10,-16,24,31,26,24,25,0,-48,-51,60,911,0
2020-05-14,-2,0,26,10,10,0,0,-49,10,-15,24,31,26,24,25,0,-50,-52,63,911,0
2020-05-14,-2,0,26,10,10,0,0,-49,10,-15,24,31,26,24,25,0,-50,-52,61,911,0
2020-05-14,-2,0,26,10,10,0,0,-48,10,-15,24,31,27,24,25,0,-49,-52,62,911,0
2020-05-14,-2,0,27,10,10,0,0,-48,10,-15,24,31,27,24,25,0,-49,-51,62,911,0
2020-05-14,-3,0,27,10,10,0,0,-48,10,-15,24,31,27,24,25,0,-49,-51,61,911,0
2020-05-14,-3,0,27,10,10,0,0,-48,10,-15,24,31,27,24,25,0,-48,-51,61,911,0
2020-05-14,-2,0,27,10,10,0,0,-48,10,-15,24,31,27,24,25,0,-48,-50,64,911,0
2020-05-14,-3,0,26,10,10,0,0,-47,11,-15,24,31,27,24,25,0,-48,-50,62,911,0
2020-05-15,-2,0,27,9,9,0,0,-50,9,-15,24,31,27,24,25,0,-52,-54,61,911,0
2020-05-15,-2,0,26,9,9,0,0,-51,9,-15,24,31,26,24,25,0,-52,-54,61,911,0
2020-05-15,-2,0,26,9,9,0,0,-51,9,-16,23,31,26,24,25,0,-52,-54,62,911,0
2020-05-15,-2,0,26,9,9,0,0,-51,9,-17,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-15,-2,0,26,9,9,0,0,-51,9,-17,23,31,26,24,25,0,-52,-54,63,911,0
2020-05-15,-3,0,26,9,8,0,0,-51,9,-17,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-15,-3,0,26,9,9,0,0,-51,9,-18,23,31,26,24,25,0,-52,-55,60,911,0
2020-05-15,-2,0,26,9,9,0,0,-51,9,-18,23,31,26,24,25,0,-52,-55,62,911,0
2020-05-15,-2,0,26,9,9,0,0,-50,9,-18,23,31,26,24,25,0,-52,-54,60,911,0
2020-05-15,-2,0,26,9,9,0,0,-50,9,-18,23,31,26,24,25,0,-52,-54,63,911,0
2020-05-15,-3,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-54,61,911,0
2020-05-15,-2,0,25,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-51,-53,61,911,0
2020-05-15,-3,0,26,9,9,0,0,-50,9,-17,23,31,26,24,25,0,-50,-53,63,911,0
2020-05-15,-3,0,26,9,9,0,0,-49,10,-16,24,31,26,24,25,0,-50,-53,61,911,0
2020-05-15,-2,0,26,9,9,0,0,-49,10,-15,24,31,26,24,25,0,-50,-52,60,911,0
2020-05-15,-2,0,26,10,10,0,0,-49,10,-15,24,31,26,24,25,0,-50,-52,63,911,0
2020-05-15,-2,0,26,10,10,0,0,-49,10,-15,24,31,26,25,25,0,-50,-52,62,911,0
2020-05-15,-2,0,26,10,10,0,0,-49,10,-15,24,31,26,25,25,0,-50,-52,61,911,0
2020-05-15,-2,0,26,10,10,0,0,-49,10,-15,24,31,26,25,25,0,-50,-52,61,911,0
2020-05-15,-3,0,26,9,9,0,0,-49,10,-14,24,31,27,25,25,0,-50,-52,62,911,0
2020-05-15,-3,0,26,9,9,0,0,-50,9,-15,24,31,26,25,25,0,-50,-53,60,911,0
2020-05-15,-3,0,27,9,9,0,0,-50,9,-15,24,31,27,25,25,0,-50,-53,62,911,0
2020-05-15,-3,0,26,9,9,0,0,-50,9,-15,24,31,27,25,25,0,-50,-53,62,911,0
2020-05-15,-2,0,27,9,9,0,0,-50,9,-15,24,31,27,25,25,0,-51,-53,60,911,0
2020-05-15,0,0,26,10,11,0,0,-46,11,-14,24,24,27,25,26,0,-48,-48,60,414,0
2020-05-15,0,0,26,9,11,0,0,-48,10,-14,24,24,27,25,25,0,-50,-50,63,414,0
2020-05-15,1,0,26,9,10,0,0,-48,10,-15,24,24,27,26,25,0,-50,-50,61,414,0
2020-05-15,0,0,26,9,10,0,0,-49,10,-15,24,24,26,26,26,0,-50,-50,61,414,0
2020-05-15,0,0,26,9,10,0,0,-49,10,-15,24,24,26,26,26,0,-50,-50,63,414,0
